Train Number,Train Name,Category,Origin Station,Origin City,Destination Station,Destination City,Departure Time,Arrival Time,Duration,Running Days,Ordered Route Sequence (routeStations),Corridor Density Multiplier,Available Classes
11078,JHELUM EXPRESS,EXPRESS,NDLS,New Delhi,PUNE,Pune Junction,11:20,15:35,28h 15m,M T W T F S S,"NDLS, AGC, VGLJ, BPL, PUNE",2.2,"SL, 3A, 2A"
12392,SHRAMJEEVI EXPRESS,SUPERFAST,NDLS,New Delhi,PNBE,Patna Junction,13:10,07:05,17h 55m,M T W T F S S,"NDLS, MB, LKO, BSB, DDU, PNBE",4.5,"SL, 3A, 2A"
12424,DIBRUGARH RAJDHANI,PREMIUM EXPRESS,NDLS,New Delhi,DBRG,Dibrugarh,16:20,03:55,35h 35m,M T W T F S S,"NDLS, CNB, PRYJ, DDU, PNBE, GHY, DBRG",4.0,"3A, 2A, 1A"
20501,AGARTALA TEJAS RAJDHANI,PREMIUM EXPRESS,ANVT,New Delhi ANVT,AGTL,Agartala,16:45,04:10,11h 25m,- - W - - - -,"NDLS, ANVT, CNB, DDU, PPTA, PNBE, GHY, AGTL",4.6,"3A, 2A, 1A"
12302,HOWRAH RAJDHANI EXPRESS,PREMIUM EXPRESS,NDLS,New Delhi,HWH,Howrah Junction,16:50,09:55,17h 05m,M T W T F S S,"NDLS, CNB, PRYJ, DDU, HWH",3.8,"3A, 2A, 1A"
12951,MUMBAI RAJDHANI EXP,PREMIUM EXPRESS,NDLS,New Delhi,MMCT,Mumbai Central,16:55,08:35,15h 40m,M T W T F S S,"NDLS, KOTA, RTM, BRC, ST, MMCT",3.5,"3A, 2A, 1A"
12310,PATNA RAJDHANI EXPRESS,PREMIUM EXPRESS,NDLS,New Delhi,PNBE,Patna Junction,17:10,05:40,12h 30m,M T W T F S S,"NDLS, CNB, PRYJ, DDU, PNBE",4.8,"3A, 2A, 1A"
12394,SAMPOORNA KRANTI EXPRESS,SUPERFAST,NDLS,New Delhi,PNBE,Patna Junction,19:30,06:50,11h 20m,M T W T F S S,"NDLS, CNB, PRYJ, DDU, PNBE",4.5,"SL, 3A, 2A"
12260,SEALDAH DURONTO EXPRESS,DURONTO,NDLS,New Delhi,SDAH,Sealdah Kolkata,19:45,12:25,16h 40m,M - W T - S -,"NDLS, CNB, DDU, SDAH",3.2,"3A, 2A"
12560,SHIV GANGA EXPRESS,SUPERFAST,NDLS,New Delhi,BSB,Varanasi Junction,20:05,06:10,10h 05m,M T W T F S S,"NDLS, CNB, PRYJ, BSB",3.8,"SL, 3A, 2A"
12626,KERALA EXPRESS,SUPERFAST,NDLS,New Delhi,MMCT,Mumbai Central,20:10,14:40,18h 30m,M T W T F S S,"NDLS, AGC, VGLJ, BPL, NGP, MMCT",2.8,"SL, 3A, 2A"
12628,KARNATAKA EXPRESS,SUPERFAST,NDLS,New Delhi,SBC,KSR Bengaluru,21:15,07:00,33h 45m,M T W T F S S,"NDLS, AGC, VGLJ, BPL, NGP, SBC",3.0,"SL, 3A, 2A"
12802,PURUSHOTTAM EXPRESS,SUPERFAST,NDLS,New Delhi,PURI,Puri,22:40,04:00,29h 20m,M T W T F S S,"NDLS, CNB, PRYJ, DDU, TATA, PURI",3.2,"SL, 3A, 2A"
