TOTAL NON-UNDERLINED TRAINS (537 TRAINS):
================================================================================

001. Train 12301 | HOWRAH RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: HWH -> NDLS
018. Train 12426 | JAMMU RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: JAT -> NDLS
019. Train 12431 | TRIVANDRUM RAJDHANI | Category: PREMIUM RAJDHANI | Route: TVC -> NZM
020. Train 12432 | TRIVANDRUM RAJDHANI | Category: PREMIUM RAJDHANI | Route: NZM -> TVC
021. Train 12433 | CHENNAI RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: MAS -> NZM
022. Train 12434 | CHENNAI RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: NZM -> MAS
023. Train 12437 | SECUNDERABAD RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: SC -> NZM
024. Train 12438 | SECUNDERABAD RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: NZM -> SC
025. Train 22691 | BENGALURU RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: SBC -> NZM
026. Train 22692 | BENGALURU RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: NZM -> SBC
027. Train 20817 | BHUBANESWAR RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: BBS -> NDLS
028. Train 20818 | BHUBANESWAR RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: NDLS -> BBS
029. Train 22435 | VANDE BHARAT EXPRESS | Category: VANDE BHARAT | Route: BSB -> NDLS
030. Train 22436 | VANDE BHARAT EXPRESS | Category: VANDE BHARAT | Route: NDLS -> BSB
031. Train 22439 | KATRA VANDE BHARAT EXPRESS | Category: VANDE BHARAT | Route: NDLS -> SVDK
032. Train 22440 | KATRA VANDE BHARAT EXPRESS | Category: VANDE BHARAT | Route: SVDK -> NDLS
033. Train 22895 | HOWRAH - PURI VANDE BHARAT EXPRESS | Category: VANDE BHARAT | Route: HWH -> PURI
034. Train 22896 | PURI - HOWRAH VANDE BHARAT EXPRESS | Category: VANDE BHARAT | Route: PURI -> HWH
035. Train 20835 | PURI - ROURKELA VANDE BHARAT EXPRESS | Category: VANDE BHARAT | Route: PURI -> BBS
036. Train 20836 | ROURKELA - PURI VANDE BHARAT EXPRESS | Category: VANDE BHARAT | Route: BBS -> PURI
037. Train 22349 | PATNA - RANCHI VANDE BHARAT EXPRESS | Category: VANDE BHARAT | Route: PNBE -> RNC
038. Train 22350 | RANCHI - PATNA VANDE BHARAT EXPRESS | Category: VANDE BHARAT | Route: RNC -> PNBE
039. Train 22347 | HOWRAH - PATNA VANDE BHARAT EXPRESS | Category: VANDE BHARAT | Route: HWH -> PNBE
040. Train 22348 | PATNA - HOWRAH VANDE BHARAT EXPRESS | Category: VANDE BHARAT | Route: PNBE -> HWH
041. Train 20607 | CHENNAI CENTRAL - MYSORE VANDE BHARAT | Category: VANDE BHARAT | Route: MAS -> MYS
042. Train 20608 | MYSORE - CHENNAI CENTRAL VANDE BHARAT | Category: VANDE BHARAT | Route: MYS -> MAS
043. Train 12001 | BHOPAL SHATABDI EXPRESS | Category: SHATABDI | Route: BPL -> NDLS
044. Train 12002 | BHOPAL SHATABDI EXPRESS | Category: SHATABDI | Route: NDLS -> BPL
045. Train 12009 | MUMBAI CENTRAL - AHMEDABAD SHATABDI EXPRESS | Category: SHATABDI | Route: MMCT -> ADI
046. Train 12010 | AHMEDABAD - MUMBAI CENTRAL SHATABDI EXPRESS | Category: SHATABDI | Route: ADI -> MMCT
047. Train 12011 | KALKA SHATABDI EXPRESS | Category: SHATABDI | Route: NDLS -> CDG
048. Train 12012 | KALKA SHATABDI EXPRESS | Category: SHATABDI | Route: CDG -> NDLS
049. Train 12023 | HOWRAH - PATNA JAN SHATABDI EXPRESS | Category: JAN SHATABDI | Route: HWH -> PNBE
050. Train 12024 | PATNA - HOWRAH JAN SHATABDI EXPRESS | Category: JAN SHATABDI | Route: PNBE -> HWH
051. Train 12365 | PATNA - RANCHI JAN SHATABDI EXPRESS | Category: JAN SHATABDI | Route: PNBE -> RNC
052. Train 12366 | RANCHI - PATNA JAN SHATABDI EXPRESS | Category: JAN SHATABDI | Route: RNC -> PNBE
053. Train 12273 | HOWRAH - NEW DELHI DURONTO EXPRESS | Category: DURONTO | Route: HWH -> NDLS
054. Train 12274 | NEW DELHI - HOWRAH DURONTO EXPRESS | Category: DURONTO | Route: NDLS -> HWH
055. Train 22209 | MUMBAI DURONTO EXPRESS | Category: DURONTO | Route: MMCT -> NDLS
056. Train 22210 | MUMBAI DURONTO EXPRESS | Category: DURONTO | Route: NDLS -> MMCT
057. Train 12393 | SAMPOORNA KRANTI EXPRESS | Category: SUPERFAST | Route: PNBE -> NDLS
058. Train 12394 | SAMPOORNA KRANTI EXPRESS | Category: SUPERFAST | Route: NDLS -> PNBE
059. Train 12303 | POORVA EXPRESS | Category: SUPERFAST | Route: HWH -> NDLS
060. Train 12304 | POORVA EXPRESS | Category: SUPERFAST | Route: NDLS -> HWH
061. Train 12801 | PURUSHOTTAM EXPRESS | Category: SUPERFAST | Route: PURI -> NDLS
062. Train 12802 | PURUSHOTTAM EXPRESS | Category: SUPERFAST | Route: NDLS -> PURI
063. Train 12391 | SHRAMJEEVI EXPRESS | Category: SUPERFAST | Route: PNBE -> NDLS
064. Train 12392 | SHRAMJEEVI EXPRESS | Category: SUPERFAST | Route: NDLS -> PNBE
065. Train 12367 | VIKRAMSHILA EXPRESS | Category: SUPERFAST | Route: PNBE -> ANVT
066. Train 12368 | VIKRAMSHILA EXPRESS | Category: SUPERFAST | Route: ANVT -> PNBE
067. Train 12625 | KERALA EXPRESS | Category: SUPERFAST | Route: TVC -> NDLS
068. Train 12626 | KERALA EXPRESS | Category: SUPERFAST | Route: NDLS -> TVC
069. Train 12621 | TAMIL NADU EXPRESS | Category: SUPERFAST | Route: MAS -> NDLS
070. Train 12622 | TAMIL NADU EXPRESS | Category: SUPERFAST | Route: NDLS -> MAS
071. Train 12639 | BRINDAVAN EXPRESS | Category: SUPERFAST | Route: MAS -> SBC
072. Train 12640 | BRINDAVAN EXPRESS | Category: SUPERFAST | Route: SBC -> MAS
073. Train 12123 | DECCAN QUEEN | Category: SUPERFAST | Route: CSMT -> PUNE
074. Train 12124 | DECCAN QUEEN | Category: SUPERFAST | Route: PUNE -> CSMT
075. Train 12723 | TELANGANA EXPRESS | Category: SUPERFAST | Route: HYB -> NDLS
076. Train 12724 | TELANGANA EXPRESS | Category: SUPERFAST | Route: NDLS -> HYB
077. Train 12137 | PUNJAB MAIL | Category: SUPERFAST | Route: CSMT -> FZR
078. Train 12138 | PUNJAB MAIL | Category: SUPERFAST | Route: FZR -> CSMT
079. Train 13398 | NASHIK ROAD - DHANBAD SPECIAL GARIB RATH | Category: GARIB RATH | Route: BSB -> RNC
080. Train 14175 | SUBEDARGANJ - DADAR SUPERFAST EXPRESS | Category: SUPERFAST | Route: CNB -> ST
081. Train 12003 | PATNA - PUNE SUPERFAST | Category: SUPERFAST | Route: PNBE -> PUNE
082. Train 12004 | PATNA - AHMEDABAD SF EXPRESS | Category: DURONTO | Route: PPTA -> ADI
083. Train 12005 | KOLKATA - CHENNAI PASSENGER | Category: TEJAS | Route: HWH -> MAS
084. Train 12006 | KOLKATA - BENGALURU SPECIAL | Category: GARIB RATH | Route: SDAH -> SBC
085. Train 12007 | MUMBAI - HYDERABAD JAN SHATABDI | Category: HUMSAFAR | Route: MMCT -> HYB
086. Train 12008 | MUMBAI - SECUNDERABAD SAMPARK KRANTI | Category: JAN SHATABDI | Route: CSMT -> SC
087. Train 12013 | BENGALURU - MUGHALSARAI RAJDHANI | Category: SHATABDI | Route: SBC -> DDU
088. Train 12014 | HYDERABAD - KOTA SUPERFAST | Category: SUPERFAST | Route: HYB -> KOTA
089. Train 12015 | SECUNDERABAD - RATLAM SF EXPRESS | Category: DURONTO | Route: SC -> RTM
090. Train 12016 | VARANASI - VADODARA PASSENGER | Category: TEJAS | Route: BSB -> BRC
091. Train 12017 | LUCKNOW - SURAT SPECIAL | Category: GARIB RATH | Route: LKO -> ST
092. Train 12018 | KANPUR - BHOPAL JAN SHATABDI | Category: HUMSAFAR | Route: CNB -> BPL
093. Train 12019 | PRAYAGRAJ - NAGPUR SAMPARK KRANTI | Category: JAN SHATABDI | Route: PRYJ -> NGP
094. Train 12020 | MUGHALSARAI - GUWAHATI HUMSAFAR | Category: SAMPARK KRANTI | Route: DDU -> GHY
095. Train 12021 | KOTA - DIBRUGARH GARIB RATH | Category: EXPRESS | Route: KOTA -> DBRG
096. Train 12022 | RATLAM - PURI EXPRESS | Category: VANDE BHARAT | Route: RTM -> PURI
097. Train 12025 | BHOPAL - JHANSI SUPERFAST | Category: SUPERFAST | Route: BPL -> VGLJ
098. Train 12026 | NAGPUR - JAIPUR SF EXPRESS | Category: DURONTO | Route: NGP -> JP
099. Train 12027 | GUWAHATI - JODHPUR PASSENGER | Category: TEJAS | Route: GHY -> JU
100. Train 12028 | DIBRUGARH - KOCHI SPECIAL | Category: GARIB RATH | Route: DBRG -> CHTS
101. Train 12029 | PURI - THIRUVANANTHAPURAM JAN SHATABDI | Category: HUMSAFAR | Route: PURI -> TVC
102. Train 12030 | JAMSHEDPUR - GOA SAMPARK KRANTI | Category: JAN SHATABDI | Route: TATA -> MAO
103. Train 12031 | AGRA - DELHI HUMSAFAR | Category: SAMPARK KRANTI | Route: AGC -> NDLS
104. Train 12032 | JHANSI - DELHI GARIB RATH | Category: EXPRESS | Route: VGLJ -> ANVT
105. Train 12033 | JAIPUR - DELHI EXPRESS | Category: VANDE BHARAT | Route: JP -> DLI
106. Train 12034 | JODHPUR - PATNA MAIL | Category: PREMIUM EXPRESS | Route: JU -> PNBE
107. Train 12035 | KOCHI - PATNA RAJDHANI | Category: SHATABDI | Route: CHTS -> PPTA
108. Train 12036 | THIRUVANANTHAPURAM - KOLKATA SUPERFAST | Category: SUPERFAST | Route: TVC -> HWH
109. Train 12037 | GOA - KOLKATA SF EXPRESS | Category: DURONTO | Route: MAO -> SDAH
110. Train 12038 | DELHI - MUMBAI PASSENGER | Category: TEJAS | Route: NDLS -> MMCT
111. Train 12039 | DELHI - MUMBAI SPECIAL | Category: GARIB RATH | Route: ANVT -> CSMT
112. Train 12040 | DELHI - MUMBAI JAN SHATABDI | Category: HUMSAFAR | Route: DLI -> BDTS
113. Train 12041 | PATNA - PUNE SAMPARK KRANTI | Category: JAN SHATABDI | Route: PNBE -> PUNE
114. Train 12042 | PATNA - AHMEDABAD HUMSAFAR | Category: SAMPARK KRANTI | Route: PPTA -> ADI
115. Train 12043 | KOLKATA - CHENNAI GARIB RATH | Category: EXPRESS | Route: HWH -> MAS
116. Train 12044 | KOLKATA - BENGALURU EXPRESS | Category: VANDE BHARAT | Route: SDAH -> SBC
117. Train 12045 | MUMBAI - HYDERABAD MAIL | Category: PREMIUM EXPRESS | Route: MMCT -> HYB
118. Train 12046 | MUMBAI - SECUNDERABAD RAJDHANI | Category: SHATABDI | Route: CSMT -> SC
119. Train 12047 | MUMBAI - VARANASI SUPERFAST | Category: SUPERFAST | Route: BDTS -> BSB
120. Train 12048 | PUNE - LUCKNOW SF EXPRESS | Category: DURONTO | Route: PUNE -> LKO
121. Train 12049 | AHMEDABAD - KANPUR PASSENGER | Category: TEJAS | Route: ADI -> CNB
122. Train 12050 | CHENNAI - PRAYAGRAJ SPECIAL | Category: GARIB RATH | Route: MAS -> PRYJ
123. Train 12051 | BENGALURU - MUGHALSARAI JAN SHATABDI | Category: HUMSAFAR | Route: SBC -> DDU
124. Train 12052 | HYDERABAD - KOTA SAMPARK KRANTI | Category: JAN SHATABDI | Route: HYB -> KOTA
125. Train 12053 | SECUNDERABAD - RATLAM HUMSAFAR | Category: SAMPARK KRANTI | Route: SC -> RTM
126. Train 12054 | VARANASI - VADODARA GARIB RATH | Category: EXPRESS | Route: BSB -> BRC
127. Train 12055 | LUCKNOW - SURAT EXPRESS | Category: VANDE BHARAT | Route: LKO -> ST
128. Train 12056 | KANPUR - BHOPAL MAIL | Category: PREMIUM EXPRESS | Route: CNB -> BPL
129. Train 12057 | PRAYAGRAJ - NAGPUR RAJDHANI | Category: SHATABDI | Route: PRYJ -> NGP
130. Train 12058 | MUGHALSARAI - GUWAHATI SUPERFAST | Category: SUPERFAST | Route: DDU -> GHY
131. Train 12059 | KOTA - DIBRUGARH SF EXPRESS | Category: DURONTO | Route: KOTA -> DBRG
132. Train 12060 | RATLAM - PURI PASSENGER | Category: TEJAS | Route: RTM -> PURI
133. Train 12061 | VADODARA - JAMSHEDPUR SPECIAL | Category: GARIB RATH | Route: BRC -> TATA
134. Train 12062 | SURAT - AGRA JAN SHATABDI | Category: HUMSAFAR | Route: ST -> AGC
135. Train 12063 | BHOPAL - JHANSI SAMPARK KRANTI | Category: JAN SHATABDI | Route: BPL -> VGLJ
136. Train 12064 | NAGPUR - JAIPUR HUMSAFAR | Category: SAMPARK KRANTI | Route: NGP -> JP
137. Train 12065 | GUWAHATI - JODHPUR GARIB RATH | Category: EXPRESS | Route: GHY -> JU
138. Train 12066 | DIBRUGARH - KOCHI EXPRESS | Category: VANDE BHARAT | Route: DBRG -> CHTS
139. Train 12067 | PURI - THIRUVANANTHAPURAM MAIL | Category: PREMIUM EXPRESS | Route: PURI -> TVC
140. Train 12068 | JAMSHEDPUR - GOA RAJDHANI | Category: SHATABDI | Route: TATA -> MAO
141. Train 12069 | AGRA - DELHI SUPERFAST | Category: SUPERFAST | Route: AGC -> NDLS
142. Train 12070 | JHANSI - DELHI SF EXPRESS | Category: DURONTO | Route: VGLJ -> ANVT
143. Train 12071 | JAIPUR - DELHI PASSENGER | Category: TEJAS | Route: JP -> DLI
144. Train 12072 | JODHPUR - PATNA SPECIAL | Category: GARIB RATH | Route: JU -> PNBE
145. Train 12073 | KOCHI - PATNA JAN SHATABDI | Category: HUMSAFAR | Route: CHTS -> PPTA
146. Train 12074 | THIRUVANANTHAPURAM - KOLKATA SAMPARK KRANTI | Category: JAN SHATABDI | Route: TVC -> HWH
147. Train 12075 | GOA - KOLKATA HUMSAFAR | Category: SAMPARK KRANTI | Route: MAO -> SDAH
148. Train 12076 | DELHI - MUMBAI GARIB RATH | Category: EXPRESS | Route: NDLS -> MMCT
149. Train 12077 | DELHI - MUMBAI EXPRESS | Category: VANDE BHARAT | Route: ANVT -> CSMT
150. Train 12078 | DELHI - MUMBAI MAIL | Category: PREMIUM EXPRESS | Route: DLI -> BDTS
151. Train 12079 | PATNA - PUNE RAJDHANI | Category: SHATABDI | Route: PNBE -> PUNE
152. Train 12080 | PATNA - AHMEDABAD SUPERFAST | Category: SUPERFAST | Route: PPTA -> ADI
153. Train 12081 | KOLKATA - CHENNAI SF EXPRESS | Category: DURONTO | Route: HWH -> MAS
154. Train 12082 | KOLKATA - BENGALURU PASSENGER | Category: TEJAS | Route: SDAH -> SBC
155. Train 12083 | MUMBAI - HYDERABAD SPECIAL | Category: GARIB RATH | Route: MMCT -> HYB
156. Train 12084 | MUMBAI - SECUNDERABAD JAN SHATABDI | Category: HUMSAFAR | Route: CSMT -> SC
157. Train 12085 | MUMBAI - VARANASI SAMPARK KRANTI | Category: JAN SHATABDI | Route: BDTS -> BSB
158. Train 12086 | PUNE - LUCKNOW HUMSAFAR | Category: SAMPARK KRANTI | Route: PUNE -> LKO
159. Train 12087 | AHMEDABAD - KANPUR GARIB RATH | Category: EXPRESS | Route: ADI -> CNB
160. Train 12088 | CHENNAI - PRAYAGRAJ EXPRESS | Category: VANDE BHARAT | Route: MAS -> PRYJ
161. Train 12089 | BENGALURU - MUGHALSARAI MAIL | Category: PREMIUM EXPRESS | Route: SBC -> DDU
162. Train 12090 | HYDERABAD - KOTA RAJDHANI | Category: SHATABDI | Route: HYB -> KOTA
163. Train 12091 | SECUNDERABAD - RATLAM SUPERFAST | Category: SUPERFAST | Route: SC -> RTM
164. Train 12092 | VARANASI - VADODARA SF EXPRESS | Category: DURONTO | Route: BSB -> BRC
165. Train 12093 | LUCKNOW - SURAT PASSENGER | Category: TEJAS | Route: LKO -> ST
166. Train 12094 | KANPUR - BHOPAL SPECIAL | Category: GARIB RATH | Route: CNB -> BPL
167. Train 12095 | PRAYAGRAJ - NAGPUR JAN SHATABDI | Category: HUMSAFAR | Route: PRYJ -> NGP
168. Train 12096 | MUGHALSARAI - GUWAHATI SAMPARK KRANTI | Category: JAN SHATABDI | Route: DDU -> GHY
169. Train 12097 | KOTA - DIBRUGARH HUMSAFAR | Category: SAMPARK KRANTI | Route: KOTA -> DBRG
170. Train 12098 | RATLAM - PURI GARIB RATH | Category: EXPRESS | Route: RTM -> PURI
171. Train 12099 | VADODARA - JAMSHEDPUR EXPRESS | Category: VANDE BHARAT | Route: BRC -> TATA
172. Train 12100 | SURAT - AGRA MAIL | Category: PREMIUM EXPRESS | Route: ST -> AGC
173. Train 12101 | BHOPAL - JHANSI RAJDHANI | Category: SHATABDI | Route: BPL -> VGLJ
174. Train 12102 | NAGPUR - JAIPUR SUPERFAST | Category: SUPERFAST | Route: NGP -> JP
175. Train 12103 | GUWAHATI - JODHPUR SF EXPRESS | Category: DURONTO | Route: GHY -> JU
176. Train 12104 | DIBRUGARH - KOCHI PASSENGER | Category: TEJAS | Route: DBRG -> CHTS
177. Train 12105 | PURI - THIRUVANANTHAPURAM SPECIAL | Category: GARIB RATH | Route: PURI -> TVC
178. Train 12106 | JAMSHEDPUR - GOA JAN SHATABDI | Category: HUMSAFAR | Route: TATA -> MAO
179. Train 12107 | AGRA - DELHI SAMPARK KRANTI | Category: JAN SHATABDI | Route: AGC -> NDLS
180. Train 12108 | JHANSI - DELHI HUMSAFAR | Category: SAMPARK KRANTI | Route: VGLJ -> ANVT
181. Train 12109 | JAIPUR - DELHI GARIB RATH | Category: EXPRESS | Route: JP -> DLI
182. Train 12110 | JODHPUR - PATNA EXPRESS | Category: VANDE BHARAT | Route: JU -> PNBE
183. Train 12111 | KOCHI - PATNA MAIL | Category: PREMIUM EXPRESS | Route: CHTS -> PPTA
184. Train 12112 | THIRUVANANTHAPURAM - KOLKATA RAJDHANI | Category: SHATABDI | Route: TVC -> HWH
185. Train 12113 | PUNE - NAGPUR GARIB RATH EXPRESS | Category: GARIB RATH | Route: PUNE -> NGP
186. Train 12114 | PUNE - NAGPUR GARIB RATH EXPRESS | Category: GARIB RATH | Route: NGP -> PUNE
187. Train 12115 | DELHI - MUMBAI PASSENGER | Category: TEJAS | Route: ANVT -> CSMT
188. Train 12116 | DELHI - MUMBAI SPECIAL | Category: GARIB RATH | Route: DLI -> BDTS
189. Train 12117 | PATNA - PUNE JAN SHATABDI | Category: HUMSAFAR | Route: PNBE -> PUNE
190. Train 12118 | PATNA - AHMEDABAD SAMPARK KRANTI | Category: JAN SHATABDI | Route: PPTA -> ADI
191. Train 12119 | KOLKATA - CHENNAI HUMSAFAR | Category: SAMPARK KRANTI | Route: HWH -> MAS
192. Train 12120 | KOLKATA - BENGALURU GARIB RATH | Category: EXPRESS | Route: SDAH -> SBC
193. Train 12121 | MUMBAI - HYDERABAD EXPRESS | Category: VANDE BHARAT | Route: MMCT -> HYB
194. Train 12122 | MUMBAI - SECUNDERABAD MAIL | Category: PREMIUM EXPRESS | Route: CSMT -> SC
195. Train 12125 | AHMEDABAD - KANPUR SF EXPRESS | Category: DURONTO | Route: ADI -> CNB
196. Train 12126 | CHENNAI - PRAYAGRAJ PASSENGER | Category: TEJAS | Route: MAS -> PRYJ
197. Train 12127 | BENGALURU - MUGHALSARAI SPECIAL | Category: GARIB RATH | Route: SBC -> DDU
198. Train 12128 | HYDERABAD - KOTA JAN SHATABDI | Category: HUMSAFAR | Route: HYB -> KOTA
199. Train 12129 | SECUNDERABAD - RATLAM SAMPARK KRANTI | Category: JAN SHATABDI | Route: SC -> RTM
200. Train 12130 | VARANASI - VADODARA HUMSAFAR | Category: SAMPARK KRANTI | Route: BSB -> BRC
201. Train 12131 | LUCKNOW - SURAT GARIB RATH | Category: EXPRESS | Route: LKO -> ST
202. Train 12132 | KANPUR - BHOPAL EXPRESS | Category: VANDE BHARAT | Route: CNB -> BPL
203. Train 12133 | PRAYAGRAJ - NAGPUR MAIL | Category: PREMIUM EXPRESS | Route: PRYJ -> NGP
204. Train 12134 | MUGHALSARAI - GUWAHATI RAJDHANI | Category: SHATABDI | Route: DDU -> GHY
205. Train 12135 | KOTA - DIBRUGARH SUPERFAST | Category: SUPERFAST | Route: KOTA -> DBRG
206. Train 12136 | RATLAM - PURI SF EXPRESS | Category: DURONTO | Route: RTM -> PURI
207. Train 12139 | BHOPAL - JHANSI JAN SHATABDI | Category: HUMSAFAR | Route: BPL -> VGLJ
208. Train 12140 | NAGPUR - JAIPUR SAMPARK KRANTI | Category: JAN SHATABDI | Route: NGP -> JP
209. Train 12141 | GUWAHATI - JODHPUR HUMSAFAR | Category: SAMPARK KRANTI | Route: GHY -> JU
210. Train 12142 | DIBRUGARH - KOCHI GARIB RATH | Category: EXPRESS | Route: DBRG -> CHTS
211. Train 12143 | PURI - THIRUVANANTHAPURAM EXPRESS | Category: VANDE BHARAT | Route: PURI -> TVC
212. Train 12144 | JAMSHEDPUR - GOA MAIL | Category: PREMIUM EXPRESS | Route: TATA -> MAO
213. Train 12145 | AGRA - DELHI RAJDHANI | Category: SHATABDI | Route: AGC -> NDLS
214. Train 12146 | JHANSI - DELHI SUPERFAST | Category: SUPERFAST | Route: VGLJ -> ANVT
215. Train 12147 | JAIPUR - DELHI SF EXPRESS | Category: DURONTO | Route: JP -> DLI
216. Train 12148 | JODHPUR - PATNA PASSENGER | Category: TEJAS | Route: JU -> PNBE
217. Train 12149 | KOCHI - PATNA SPECIAL | Category: GARIB RATH | Route: CHTS -> PPTA
218. Train 12150 | THIRUVANANTHAPURAM - KOLKATA JAN SHATABDI | Category: HUMSAFAR | Route: TVC -> HWH
219. Train 12151 | GOA - KOLKATA SAMPARK KRANTI | Category: JAN SHATABDI | Route: MAO -> SDAH
220. Train 12152 | DELHI - MUMBAI HUMSAFAR | Category: SAMPARK KRANTI | Route: NDLS -> MMCT
221. Train 12153 | DELHI - MUMBAI GARIB RATH | Category: EXPRESS | Route: ANVT -> CSMT
222. Train 12154 | DELHI - MUMBAI EXPRESS | Category: VANDE BHARAT | Route: DLI -> BDTS
223. Train 12155 | PATNA - PUNE MAIL | Category: PREMIUM EXPRESS | Route: PNBE -> PUNE
224. Train 12156 | PATNA - AHMEDABAD RAJDHANI | Category: SHATABDI | Route: PPTA -> ADI
225. Train 12157 | KOLKATA - CHENNAI SUPERFAST | Category: SUPERFAST | Route: HWH -> MAS
226. Train 12158 | KOLKATA - BENGALURU SF EXPRESS | Category: DURONTO | Route: SDAH -> SBC
227. Train 12159 | MUMBAI - HYDERABAD PASSENGER | Category: TEJAS | Route: MMCT -> HYB
228. Train 12160 | MUMBAI - SECUNDERABAD SPECIAL | Category: GARIB RATH | Route: CSMT -> SC
229. Train 12161 | MUMBAI - VARANASI JAN SHATABDI | Category: HUMSAFAR | Route: BDTS -> BSB
230. Train 12162 | PUNE - LUCKNOW SAMPARK KRANTI | Category: JAN SHATABDI | Route: PUNE -> LKO
231. Train 12163 | AHMEDABAD - KANPUR HUMSAFAR | Category: SAMPARK KRANTI | Route: ADI -> CNB
232. Train 12164 | CHENNAI - PRAYAGRAJ GARIB RATH | Category: EXPRESS | Route: MAS -> PRYJ
233. Train 12165 | BENGALURU - MUGHALSARAI EXPRESS | Category: VANDE BHARAT | Route: SBC -> DDU
234. Train 12166 | HYDERABAD - KOTA MAIL | Category: PREMIUM EXPRESS | Route: HYB -> KOTA
235. Train 12167 | SECUNDERABAD - RATLAM RAJDHANI | Category: SHATABDI | Route: SC -> RTM
236. Train 12168 | VARANASI - VADODARA SUPERFAST | Category: SUPERFAST | Route: BSB -> BRC
237. Train 12169 | LUCKNOW - SURAT SF EXPRESS | Category: DURONTO | Route: LKO -> ST
238. Train 12170 | KANPUR - BHOPAL PASSENGER | Category: TEJAS | Route: CNB -> BPL
239. Train 12171 | PRAYAGRAJ - NAGPUR SPECIAL | Category: GARIB RATH | Route: PRYJ -> NGP
240. Train 12172 | MUGHALSARAI - GUWAHATI JAN SHATABDI | Category: HUMSAFAR | Route: DDU -> GHY
241. Train 12173 | KOTA - DIBRUGARH SAMPARK KRANTI | Category: JAN SHATABDI | Route: KOTA -> DBRG
242. Train 12174 | RATLAM - PURI HUMSAFAR | Category: SAMPARK KRANTI | Route: RTM -> PURI
243. Train 12175 | VADODARA - JAMSHEDPUR GARIB RATH | Category: EXPRESS | Route: BRC -> TATA
244. Train 12176 | SURAT - AGRA EXPRESS | Category: VANDE BHARAT | Route: ST -> AGC
245. Train 12177 | BHOPAL - JHANSI MAIL | Category: PREMIUM EXPRESS | Route: BPL -> VGLJ
246. Train 12178 | NAGPUR - JAIPUR RAJDHANI | Category: SHATABDI | Route: NGP -> JP
247. Train 12179 | GUWAHATI - JODHPUR SUPERFAST | Category: SUPERFAST | Route: GHY -> JU
248. Train 12180 | DIBRUGARH - KOCHI SF EXPRESS | Category: DURONTO | Route: DBRG -> CHTS
249. Train 12181 | PURI - THIRUVANANTHAPURAM PASSENGER | Category: TEJAS | Route: PURI -> TVC
250. Train 12182 | JAMSHEDPUR - GOA SPECIAL | Category: GARIB RATH | Route: TATA -> MAO
251. Train 12183 | AGRA - DELHI JAN SHATABDI | Category: HUMSAFAR | Route: AGC -> NDLS
