station_a,station_b,train_before,train_after,headway_minutes
NDLS,PNBE,12310,12392,0.0
NDLS,PNBE,12392,12394,0.0
NDLS,PNBE,12394,12802,0.0
NDLS,PNBE,12802,15108,0.0
NDLS,PNBE,15108,20818,0.0
NDLS,PNBE,20818,16093,315.0
NDLS,PNBE,16093,16734,75.0
NDLS,PPTA,12424,20502,0.0
NDLS,RNC,16705,15130,195.0
NDLS,RNC,15130,16131,315.0
NDLS,RNC,16131,15109,210.0
NDLS,RNC,15109,16726,195.0
NDLS,RNC,16726,16150,120.0
NDLS,TATA,16728,15113,195.0
NDLS,TATA,15113,16169,120.0
NDLS,TATA,16169,15122,75.0
NDLS,TATA,15122,16690,0.0
NDLS,TATA,16690,16706,0.0
NDLS,TATA,16706,15219,315.0
NDLS,TATA,15219,15132,15.0
NDLS,TATA,15132,16709,195.0
NDLS,TATA,16709,15789,120.0
NDLS,TATA,15789,15094,75.0
NDLS,TATA,15094,15110,0.0
NDLS,TATA,15110,16718,0.0
NDLS,TATA,16718,16055,315.0
NDLS,SVDK,16321,15115,270.0
NDLS,SVDK,15115,15139,0.0
NDLS,SVDK,15139,22439,135.0
NDLS,SVDK,22439,16711,585.0
NDLS,SVDK,16711,16735,0.0
NDLS,ST,15136,16736,0.0
NDLS,ST,16736,16713,195.0
NDLS,ST,16713,16473,120.0
NDLS,ST,16473,15098,75.0
NDLS,ST,15098,15122,0.0
NDLS,ST,15122,12951,330.0
NDLS,ST,12951,15140,0.0
NDLS,ST,15140,16732,0.0
NDLS,ST,16732,16492,120.0
NDLS,ST,16492,15117,75.0
NDLS,ST,15117,16694,195.0
NDLS,ST,16694,16718,0.0
NDLS,RJT,16720,15352,120.0
NDLS,RJT,15352,15808,0.0
NDLS,RJT,15808,16264,0.0
NDLS,RJT,16264,15409,195.0
NDLS,RJT,15409,15865,0.0
NDLS,RJT,15865,16321,0.0
NDLS,RJT,16321,15466,195.0
NDLS,RJT,15466,15922,0.0
NDLS,RJT,15922,16378,0.0
NDLS,RJT,16378,15523,195.0
NDLS,RJT,15523,15979,0.0
NDLS,RJT,15979,16435,0.0
NDLS,RJT,16435,15124,15.0
NDLS,RJT,15124,15580,120.0
NDLS,RJT,15580,15884,0.0
NDLS,RJT,15884,16036,0.0
NDLS,RJT,16036,16492,0.0
NDLS,RJT,16492,15181,195.0
NDLS,RJT,15181,15637,0.0
NDLS,RJT,15637,16093,0.0
NDLS,RJT,16093,16549,0.0
NDLS,RJT,16549,15238,195.0
NDLS,RJT,15238,15694,0.0
NDLS,RJT,15694,15998,0.0
NDLS,RJT,15998,16150,0.0
NDLS,RJT,16150,16454,0.0
NDLS,RJT,16454,16606,0.0
NDLS,RJT,16606,15295,195.0
NDLS,RJT,15295,15751,0.0
NDLS,RJT,15751,16207,0.0
NDLS,RJT,16207,16663,0.0
NDLS,PUNE,16712,15137,195.0
NDLS,PUNE,15137,16721,0.0
NDLS,PUNE,16721,16169,120.0
NDLS,PUNE,16169,16714,75.0
NDLS,PUNE,16714,16530,120.0
NDLS,PUNE,16530,15099,75.0
NDLS,PUNE,15099,15675,120.0
NDLS,PUNE,15675,15116,15.0
NDLS,PUNE,15116,16340,120.0
NDLS,PUNE,16340,15125,75.0
NDLS,PUNE,15125,16733,0.0
NDLS,PUNE,16733,15118,195.0
NDLS,PUNE,15118,15390,120.0
NDLS,PUNE,15390,16695,75.0
NDLS,NGP,16704,16722,390.0
NDLS,NGP,16722,16530,120.0
NDLS,NGP,16530,16435,195.0
NDLS,NGP,16435,12622,15.0
NDLS,NGP,12622,12626,0.0
NDLS,NGP,12626,12724,0.0
NDLS,NGP,12724,15108,0.0
NDLS,NGP,15108,16036,120.0
NDLS,NGP,16036,15181,195.0
NDLS,NGP,15181,16549,0.0
NDLS,NGP,16549,15126,75.0
NDLS,NGP,15126,15846,120.0
NDLS,UBL,15808,16416,0.0
NDLS,UBL,16416,15129,75.0
NDLS,UBL,15129,16737,0.0
NDLS,UBL,16737,16074,315.0
NDLS,UBL,16074,15141,405.0
NDLS,UBL,15141,16725,0.0
NDLS,UBL,16725,16549,120.0
NDLS,UBL,16549,15238,195.0
NDLS,TVC,16264,16729,75.0
NDLS,TVC,16729,15130,195.0
NDLS,TVC,15130,12626,330.0
NDLS,TVC,12626,15133,195.0
NDLS,TVC,15133,16726,195.0
NDLS,TVC,16726,15542,120.0
NDLS,TVC,15542,16606,0.0
NDLS,PURI,15136,16738,390.0
NDLS,PURI,16738,12802,330.0
NDLS,PURI,12802,16732,0.0
NDLS,PURI,16732,15142,390.0
NDLS,PURI,15142,16663,315.0
NDLS,R,15137,16737,0.0
NDLS,R,16737,15122,195.0
NDLS,R,15122,16730,0.0
NDLS,R,16730,16699,195.0
NDLS,R,16699,15141,330.0
NDLS,R,15141,16733,0.0
NDLS,R,16733,15134,195.0
NDLS,R,15134,16718,0.0
NDLS,R,16718,15103,195.0
NDLS,VSKP,16714,15139,195.0
NDLS,VSKP,15139,15118,525.0
NDLS,VSKP,15118,16735,195.0
DLI,NZM,15184,15249,435.0
DLI,NZM,15249,16739,150.0
DLI,NZM,16739,15143,720.0
DLI,MMCT,15168,15145,195.0
DLI,MMCT,15145,15306,435.0
DLI,MMCT,15306,16741,285.0
DLI,LTT,15144,16744,0.0
DLI,LTT,16744,15148,720.0
DLI,LTT,15148,16740,0.0
DLI,LTT,16740,15477,435.0
DLI,HWH,15193,16745,0.0
DLI,HWH,16745,15149,720.0
DLI,HWH,15149,15534,435.0
DLI,SDAH,15184,15591,105.0
DLI,SDAH,15591,15185,90.0
DLI,SDAH,15185,15146,195.0
DLI,SDAH,15146,16746,0.0
DLI,SDAH,16746,15165,525.0
DLI,SDAH,15165,15150,195.0
DLI,SDAH,15150,16742,0.0
DLI,SBC,15177,16747,390.0
DLI,SBC,16747,15151,720.0
DLI,YPR,15152,15169,195.0
DLI,YPR,15169,15648,45.0
DLI,YPR,15648,16748,480.0
DLI,MAS,15153,15161,0.0
DLI,MAS,15161,15185,0.0
DLI,MAS,15185,15648,45.0
DLI,MAS,15648,15705,195.0
DLI,MAS,15705,15147,150.0
DLI,MAS,15147,15363,240.0
DLI,MAS,15363,16749,90.0
DLI,MAS,16749,15166,195.0
DLI,MAS,15166,16743,195.0
DLI,MS,15153,15154,195.0
DLI,MS,15154,15762,240.0
DLI,MS,15762,16749,285.0
DLI,MS,16749,16750,195.0
DLI,HYB,15145,15155,390.0
DLI,HYB,15155,15819,240.0
DLI,HYB,15819,16741,90.0
DLI,HYB,16741,16751,390.0
DLI,SC,16744,16752,0.0
DLI,SC,16752,15186,390.0
DLI,SC,15186,15194,0.0
DLI,SC,15194,15148,330.0
DLI,SC,15148,15156,0.0
DLI,SC,15156,15167,585.0
DLI,LKO,16753,15186,195.0
DLI,LKO,15186,15157,525.0
DLI,LKO,15157,15876,45.0
DLI,GKP,16047,15161,90.0
DLI,GKP,15161,15154,195.0
DLI,GKP,15154,16750,720.0
DLI,VGLJ,15169,15146,195.0
DLI,VGLJ,15146,15162,0.0
DLI,VGLJ,15162,16746,0.0
DLI,VGLJ,16746,15188,330.0
DLI,VGLJ,15188,15150,390.0
DLI,VGLJ,15150,16742,0.0
DLI,PNBE,16104,15163,345.0
DLI,PNBE,15163,15195,0.0
DLI,RNC,15187,15164,135.0
DLI,TATA,15170,16161,45.0
DLI,TATA,16161,15179,150.0
DLI,TATA,15179,16747,0.0
DLI,TATA,16747,15165,330.0
DLI,TATA,15165,15189,0.0
DLI,TATA,15189,15151,390.0
DLI,FZR,15152,15168,0.0
DLI,FZR,15168,15155,585.0
DLI,FZR,15155,15171,0.0
DLI,FZR,15171,16218,45.0
DLI,FZR,16218,16748,90.0
DLI,FZR,16748,16275,105.0
DLI,FZR,16275,15190,285.0
DLI,FZR,15190,15477,45.0
DLI,FZR,15477,16751,150.0
DLI,JAT,15169,15147,390.0
DLI,JAT,15147,16743,720.0
DLI,SVDK,15170,15196,330.0
DLI,JP,15153,15171,390.0
DLI,JP,15171,15172,135.0
DLI,JP,15172,15188,0.0
DLI,JP,15188,16749,195.0
DLI,JP,16749,15876,45.0
DLI,JP,15876,16332,0.0
DLI,JP,16332,15191,345.0
DLI,JP,15191,15990,45.0
DLI,KOTA,16161,15172,285.0
DLI,KOTA,15172,15180,0.0
DLI,KOTA,15180,16332,240.0
DLI,INDB,15192,15135,105.0
DLI,INDB,15135,15591,0.0
DLI,INDB,15591,16047,0.0
DLI,INDB,16047,16503,0.0
DLI,INDB,16503,15648,135.0
DLI,INDB,15648,16104,0.0
DLI,INDB,16104,16560,0.0
DLI,INDB,16560,15154,150.0
DLI,INDB,15154,15249,45.0
DLI,INDB,15249,15705,0.0
DLI,INDB,15705,16161,0.0
DLI,INDB,16161,16617,0.0
DLI,INDB,16617,15306,195.0
DLI,INDB,15306,15762,0.0
DLI,INDB,15762,16218,0.0
DLI,INDB,16218,16674,0.0
DLI,INDB,16674,15164,90.0
DLI,INDB,15164,15363,105.0
DLI,INDB,15363,15819,0.0
DLI,INDB,15819,16275,0.0
DLI,INDB,16275,16731,0.0
DLI,INDB,16731,15173,90.0
DLI,INDB,15173,15420,45.0
DLI,INDB,15420,15876,0.0
DLI,INDB,15876,16332,0.0
DLI,INDB,16332,15174,150.0
DLI,INDB,15174,16750,0.0
DLI,INDB,16750,15477,45.0
DLI,INDB,15477,15933,0.0
DLI,INDB,15933,16389,0.0
DLI,INDB,16389,15534,195.0
DLI,INDB,15534,15990,0.0
DLI,INDB,15990,16446,0.0
DLI,GWL,16752,15156,720.0
DLI,GWL,15156,15175,585.0
DLI,GWL,15175,16446,45.0
DLI,ST,15177,15193,0.0
DLI,ST,15193,15155,390.0
DLI,ST,15155,15197,330.0
DLI,ST,15197,15174,195.0
DLI,ST,15174,16751,195.0
DLI,ST,16751,15534,45.0
DLI,RJT,15179,15181,330.0
DLI,PUNE,16752,16104,240.0
DLI,PUNE,16104,15194,150.0
DLI,PUNE,15194,15762,240.0
DLI,PUNE,15762,15156,90.0
DLI,PUNE,15156,15180,0.0
DLI,PUNE,15180,15173,195.0
DLI,PUNE,15173,16389,240.0
DLI,PUNE,16389,15175,150.0
DLI,NGP,16560,15165,675.0
DLI,NGP,15165,15181,0.0
DLI,MAO,16753,15157,720.0
DLI,MAO,15157,15182,195.0
DLI,MYS,15176,16745,195.0
DLI,MYS,16745,16753,0.0
DLI,MYS,16753,15195,390.0
DLI,MYS,15195,15149,330.0
DLI,MYS,15149,15157,0.0
DLI,MYS,15157,15183,390.0
DLI,TVC,15185,15190,915.0
DLI,ERS,15177,15186,195.0
DLI,ERS,15186,16754,0.0
DLI,ERS,16754,16617,45.0
DLI,ERS,16617,15196,285.0
DLI,ERS,15196,15158,390.0
DLI,ERS,15158,15182,0.0
DLI,MDU,16503,15178,285.0
DLI,MDU,15178,16754,0.0
DLI,MDU,16754,16755,195.0
DLI,MDU,16755,15189,330.0
DLI,MDU,15189,15197,0.0
DLI,MDU,15197,15158,195.0
DLI,MDU,15158,15933,45.0
DLI,MDU,15933,15159,150.0
DLI,R,15160,15192,0.0
DLI,R,15192,16047,105.0
DLI,R,16047,15179,480.0
DLI,R,15179,15191,720.0
DLI,R,15191,16446,45.0
DLI,VSKP,15194,15175,915.0
DLI,GHY,16755,15196,135.0
DLI,GHY,15196,16275,105.0
DLI,GHY,16275,15159,480.0
NZM,SDAH,15127,16039,0.0
NZM,SDAH,16039,16495,0.0
NZM,SDAH,16495,15241,90.0
NZM,SDAH,15241,15184,45.0
NZM,SDAH,15184,15640,0.0
NZM,SDAH,15640,16096,0.0
NZM,SDAH,16096,16552,0.0
NZM,SDAH,16552,15242,150.0
NZM,SDAH,15242,15697,45.0
NZM,SDAH,15697,16153,0.0
NZM,SDAH,16153,16609,0.0
NZM,SDAH,16609,15203,150.0
NZM,SDAH,15203,15298,45.0
NZM,SDAH,15298,15754,0.0
NZM,SDAH,15754,16210,0.0
NZM,SDAH,16210,16666,0.0
NZM,SDAH,16666,15204,90.0
NZM,SDAH,15204,15355,105.0
NZM,SDAH,15355,15811,0.0
NZM,SDAH,15811,16267,0.0
NZM,SDAH,16267,16723,0.0
NZM,SDAH,16723,15412,135.0
NZM,SDAH,15412,15868,0.0
NZM,SDAH,15868,16324,0.0
NZM,SDAH,16324,15222,150.0
NZM,SDAH,15222,15469,45.0
NZM,SDAH,15469,15925,0.0
NZM,SDAH,15925,16381,0.0
NZM,SDAH,16381,15526,195.0
NZM,SDAH,15526,15982,0.0
NZM,SDAH,15982,16438,0.0
NZM,SDAH,16438,15583,75.0
NZM,SBC,15640,15234,150.0
NZM,SBC,15234,22692,330.0
NZM,SBC,22692,15205,195.0
NZM,YPR,15226,15412,570.0
NZM,YPR,15412,15206,150.0
NZM,SC,15224,15210,390.0
NZM,SC,15210,15243,195.0
NZM,SC,15243,15251,0.0
NZM,SC,15251,12438,135.0
NZM,SC,12438,22692,0.0
NZM,SC,22692,15205,195.0
NZM,VGLJ,15216,15226,390.0
NZM,VGLJ,15226,15203,195.0
NZM,VGLJ,15203,12191,135.0
NZM,VGLJ,12191,12192,0.0
NZM,VGLJ,12192,15245,195.0
NZM,VGLJ,15245,15207,390.0
NZM,PNBE,15217,16096,45.0
NZM,PNBE,16096,15868,720.0
NZM,PNBE,15868,15982,390.0
NZM,RNC,15218,16153,45.0
NZM,RNC,16153,15244,285.0
NZM,TATA,15208,15219,585.0
NZM,TATA,15219,15227,0.0
NZM,TATA,15227,15236,135.0
NZM,TATA,15236,15246,390.0
NZM,SVDK,15224,16324,960.0
NZM,ST,15250,12432,330.0
NZM,ST,12432,12618,0.0
NZM,ST,12618,12954,0.0
NZM,ST,12954,15212,0.0
NZM,ST,15212,15231,585.0
NZM,RJT,15233,15238,915.0
NZM,RJT,15238,15583,315.0
NZM,PUNE,15232,15234,390.0
NZM,PUNE,15234,15251,195.0
NZM,PUNE,15251,12191,135.0
NZM,PUNE,12191,12192,0.0
NZM,PUNE,12192,15213,195.0
NZM,PUNE,15213,15230,195.0
NZM,UBL,16039,15184,135.0
NZM,UBL,15184,15198,870.0
NZM,UBL,15198,15238,0.0
NZM,UBL,15238,16438,240.0
NZM,TVC,16609,12432,285.0
NZM,TVC,12432,15239,585.0
NZM,TVC,15239,15247,0.0
NZM,PURI,15298,16666,0.0
NZM,PURI,16666,15245,285.0
NZM,PURI,15245,15199,390.0
NZM,R,15248,15217,195.0
NZM,R,15217,15236,525.0
NZM,R,15236,15198,390.0
NZM,R,15198,15246,0.0
NZM,VSKP,15232,15248,0.0
ANVT,MMCT,15353,15282,75.0
ANVT,MMCT,15282,15315,315.0
ANVT,MMCT,15315,15252,15.0
ANVT,MMCT,15252,15347,105.0
ANVT,MMCT,15347,15334,405.0
ANVT,CSMT,15274,15372,450.0
ANVT,CSMT,15372,15253,75.0
ANVT,CSMT,15253,15404,45.0
ANVT,CSMT,15404,15391,465.0
ANVT,BDTS,15448,15297,75.0
ANVT,BDTS,15297,15201,120.0
ANVT,BDTS,15201,15266,75.0
ANVT,BDTS,15266,15410,120.0
ANVT,BDTS,15410,15259,75.0
ANVT,BDTS,15259,15429,450.0
ANVT,BDTS,15429,15254,75.0
ANVT,BDTS,15254,15278,0.0
ANVT,LTT,15600,16056,0.0
ANVT,LTT,16056,16512,0.0
ANVT,LTT,16512,15201,195.0
ANVT,LTT,15201,15505,0.0
ANVT,LTT,15505,15657,0.0
ANVT,LTT,15657,16113,0.0
ANVT,LTT,16113,16569,0.0
ANVT,LTT,16569,15258,75.0
ANVT,LTT,15258,15714,120.0
ANVT,LTT,15714,16170,0.0
ANVT,LTT,16170,16626,0.0
ANVT,LTT,16626,15315,195.0
ANVT,LTT,15315,15467,0.0
ANVT,LTT,15467,15771,0.0
ANVT,LTT,15771,16227,0.0
ANVT,LTT,16227,16683,0.0
ANVT,LTT,16683,15372,135.0
ANVT,LTT,15372,15828,0.0
ANVT,LTT,15828,16284,0.0
ANVT,LTT,16284,15429,195.0
ANVT,LTT,15429,15885,0.0
ANVT,LTT,15885,16341,0.0
ANVT,LTT,16341,15461,120.0
ANVT,LTT,15461,15486,75.0
ANVT,LTT,15486,15942,0.0
ANVT,LTT,15942,16398,0.0
ANVT,LTT,16398,15255,75.0
ANVT,LTT,15255,15087,120.0
ANVT,LTT,15087,15543,0.0
ANVT,LTT,15543,15999,0.0
ANVT,LTT,15999,16455,0.0
ANVT,HWH,15256,15524,840.0
ANVT,HWH,15524,15518,510.0
ANVT,HWH,15518,15543,75.0
ANVT,SDAH,15575,15600,15.0
ANVT,SDAH,15600,15257,75.0
ANVT,SDAH,15257,15298,195.0
ANVT,SDAH,15298,15410,120.0
ANVT,SDAH,15410,15562,0.0
ANVT,SDAH,15562,15299,75.0
ANVT,SDAH,15299,15260,135.0
ANVT,SDAH,15260,15581,315.0
ANVT,SDAH,15581,15279,270.0
ANVT,SBC,15632,15258,150.0
ANVT,SBC,15258,15291,195.0
ANVT,SBC,15291,15619,120.0
ANVT,SBC,15619,15638,525.0
ANVT,YPR,15657,15689,120.0
ANVT,YPR,15689,15259,150.0
ANVT,YPR,15259,15283,0.0
ANVT,YPR,15283,15676,255.0
ANVT,YPR,15676,15461,315.0
ANVT,MAS,15280,15714,510.0
ANVT,MAS,15714,15275,75.0
ANVT,MAS,15275,15299,0.0
ANVT,MAS,15299,15260,135.0
ANVT,MAS,15260,15261,195.0
ANVT,MAS,15261,15733,120.0
ANVT,MAS,15733,15695,390.0
ANVT,MS,15752,15267,465.0
ANVT,MS,15267,15746,45.0
ANVT,MS,15746,15771,75.0
ANVT,MS,15771,15261,210.0
ANVT,HYB,15809,15259,270.0
ANVT,HYB,15259,15803,240.0
ANVT,HYB,15803,15262,285.0
ANVT,HYB,15262,15790,120.0
ANVT,SC,15281,15315,510.0
ANVT,SC,15315,15300,15.0
ANVT,SC,15300,15828,120.0
ANVT,SC,15828,15860,120.0
ANVT,SC,15860,15262,150.0
ANVT,SC,15262,15263,195.0
ANVT,SC,15263,15695,120.0
ANVT,SC,15695,15847,0.0
ANVT,LKO,15264,15866,510.0
ANVT,LKO,15866,15300,210.0
ANVT,LKO,15300,15885,315.0
ANVT,CNB,15904,15265,75.0
ANVT,CNB,15265,15562,315.0
ANVT,CNB,15562,15467,195.0
ANVT,CNB,15467,15923,0.0
ANVT,CNB,15923,12368,15.0
ANVT,CNB,12368,15292,0.0
ANVT,CNB,15292,15917,435.0
ANVT,BSB,15961,15266,75.0
ANVT,BSB,15266,15282,0.0
ANVT,BSB,15282,15284,330.0
ANVT,BSB,15284,15301,195.0
ANVT,BSB,15301,15942,315.0
ANVT,BSB,15942,15263,75.0
ANVT,BSB,15263,15974,45.0
ANVT,AY,15904,15267,465.0
ANVT,AY,15267,15276,135.0
ANVT,AY,15276,15980,120.0
ANVT,AY,15980,15942,390.0
ANVT,AY,15942,15999,195.0
ANVT,GKP,16031,15106,405.0
ANVT,GKP,15106,15866,0.0
ANVT,GKP,15866,16018,0.0
ANVT,GKP,16018,15268,210.0
ANVT,GKP,15268,15980,120.0
ANVT,GKP,15980,16037,195.0
ANVT,GKP,16037,16702,195.0
ANVT,GKP,16702,15518,120.0
ANVT,VGLJ,15264,16056,120.0
ANVT,VGLJ,16056,15657,195.0
ANVT,VGLJ,15657,15283,270.0
ANVT,VGLJ,15283,16075,120.0
ANVT,VGLJ,16075,15260,15.0
ANVT,VGLJ,15260,15372,120.0
ANVT,VGLJ,15372,15269,75.0
ANVT,VGLJ,15269,15302,195.0
ANVT,PNBE,16088,16113,75.0
ANVT,PNBE,16113,16018,195.0
ANVT,PNBE,16018,15163,195.0
ANVT,PNBE,15163,12368,15.0
ANVT,PNBE,12368,15252,0.0
ANVT,PNBE,15252,15828,120.0
ANVT,PNBE,15828,15270,270.0
ANVT,PNBE,15270,16094,120.0
ANVT,RNC,16088,16145,195.0
ANVT,RNC,16145,15746,195.0
ANVT,RNC,15746,16132,210.0
ANVT,RNC,16132,15301,75.0
ANVT,RNC,15301,15271,390.0
ANVT,RNC,15271,16151,120.0
ANVT,TATA,15272,15265,195.0
ANVT,TATA,15265,16170,315.0
ANVT,TATA,16170,15284,210.0
ANVT,TATA,15284,15293,195.0
ANVT,TATA,15293,15303,390.0
ANVT,CDG,16056,16208,0.0
ANVT,CDG,16208,15273,75.0
ANVT,CDG,15273,16202,435.0
ANVT,CDG,16202,15220,210.0
ANVT,CDG,15220,15285,75.0
ANVT,CDG,15285,16189,120.0
ANVT,CDG,16189,15790,195.0
ANVT,ASR,15448,15904,0.0
ANVT,ASR,15904,16360,0.0
ANVT,ASR,16360,15505,195.0
ANVT,ASR,15505,15961,0.0
ANVT,ASR,15961,16417,0.0
ANVT,ASR,16417,15274,75.0
ANVT,ASR,15274,15106,120.0
ANVT,ASR,15106,15562,0.0
ANVT,ASR,15562,16018,0.0
ANVT,ASR,16018,16474,0.0
ANVT,ASR,16474,15163,195.0
ANVT,ASR,15163,15619,0.0
ANVT,ASR,15619,16075,0.0
ANVT,ASR,16075,16227,0.0
ANVT,ASR,16227,16531,0.0
ANVT,ASR,16531,15220,135.0
ANVT,ASR,15220,15524,0.0
ANVT,ASR,15524,15676,0.0
ANVT,ASR,15676,16132,0.0
ANVT,ASR,16132,16588,0.0
ANVT,ASR,16588,15277,75.0
ANVT,ASR,15277,15733,120.0
ANVT,ASR,15733,16189,0.0
ANVT,ASR,16189,16645,0.0
ANVT,ASR,16645,15334,195.0
ANVT,ASR,15334,15790,0.0
ANVT,ASR,15790,16246,0.0
ANVT,ASR,16246,16702,0.0
ANVT,ASR,16702,15391,195.0
ANVT,ASR,15391,15847,0.0
ANVT,ASR,15847,16303,0.0
ANVT,FZR,15304,16265,315.0
ANVT,FZR,16265,15266,75.0
ANVT,FZR,15266,15275,195.0
ANVT,FZR,15275,16259,240.0
ANVT,FZR,16259,15269,90.0
ANVT,FZR,15269,15285,0.0
ANVT,JAT,15619,15276,15.0
ANVT,JAT,15276,16284,120.0
ANVT,JAT,16284,15261,75.0
ANVT,JAT,15261,15429,120.0
ANVT,JAT,15429,16189,0.0
ANVT,JAT,16189,16303,390.0
ANVT,SVDK,15752,16322,390.0
ANVT,SVDK,16322,15253,405.0
ANVT,SVDK,15253,15277,0.0
ANVT,SVDK,15277,16316,45.0
ANVT,SVDK,16316,16094,270.0
ANVT,JP,15575,15267,480.0
ANVT,JP,15267,16341,450.0
ANVT,JP,16341,15278,75.0
ANVT,JP,15278,15286,0.0
ANVT,JP,15286,15302,0.0
ANVT,KOTA,16360,16379,585.0
ANVT,KOTA,16379,15294,405.0
ANVT,KOTA,15294,16373,45.0
ANVT,KOTA,16373,15279,150.0
ANVT,BPL,15280,15286,1110.0
ANVT,BPL,15286,15917,45.0
ANVT,BPL,15917,16398,75.0
ANVT,INDB,15119,15281,90.0
ANVT,INDB,15281,16417,120.0
ANVT,INDB,16417,15268,405.0
ANVT,INDB,15268,16715,105.0
ANVT,INDB,16715,15278,285.0
ANVT,INDB,15278,15287,195.0
ANVT,GWL,16360,15282,270.0
ANVT,GWL,15282,15714,120.0
ANVT,GWL,15714,16132,330.0
ANVT,GWL,16132,16436,0.0
ANVT,GWL,16436,15270,270.0
ANVT,GWL,15270,15334,120.0
ANVT,GWL,15334,16430,120.0
ANVT,ST,15288,16487,105.0
ANVT,ST,16487,16474,405.0
ANVT,ST,16474,16227,195.0
ANVT,ST,16227,15284,15.0
ANVT,ST,15284,16284,120.0
ANVT,ST,16284,15269,75.0
ANVT,ST,15269,15581,120.0
ANVT,ST,15581,15254,75.0
ANVT,ST,15254,15486,120.0
ANVT,BRC,15285,16493,120.0
ANVT,BRC,16493,15303,270.0
ANVT,RJT,16512,15961,195.0
ANVT,RJT,15961,15233,120.0
ANVT,RJT,15233,16474,75.0
ANVT,RJT,16474,15923,195.0
ANVT,RJT,15923,15803,120.0
ANVT,RJT,15803,16493,210.0
ANVT,RJT,16493,15286,75.0
ANVT,RJT,15286,15295,195.0
ANVT,PUNE,16512,15289,75.0
ANVT,PUNE,15289,16544,45.0
ANVT,PUNE,16544,16721,75.0
ANVT,PUNE,16721,16531,390.0
ANVT,PUNE,16531,16259,120.0
ANVT,PUNE,16259,15125,210.0
ANVT,PUNE,15125,15885,0.0
ANVT,PUNE,15885,15270,75.0
ANVT,PUNE,15270,15287,195.0
ANVT,PUNE,15287,15999,120.0
ANVT,PUNE,15999,16455,0.0
ANVT,NGP,15288,16170,510.0
ANVT,NGP,16170,15676,330.0
ANVT,NGP,15676,16341,195.0
ANVT,NGP,16341,16550,195.0
ANVT,NGP,16550,15279,75.0
ANVT,NGP,15279,15391,120.0
ANVT,MAO,15289,15632,45.0
ANVT,MAO,15632,16569,75.0
ANVT,MAO,16569,16202,315.0
ANVT,MAO,16202,16531,75.0
ANVT,MAO,16531,16436,135.0
ANVT,MAO,16436,16316,120.0
ANVT,MAO,16316,16037,75.0
ANVT,MAO,16037,15182,195.0
ANVT,MAO,15182,15271,75.0
ANVT,MAO,15271,15847,120.0
